paper_id,v_all,v_entities,v_events,v_relations,v_original_qa,v_counterfactual_qa,v_global,v_orig_for_bias,v_cf_for_bias,IS,BPR_flag,bias_mode,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
paper_0000,0.7333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
paper_0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,proxy_from_single_validation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
paper_0002,0.6,0.75,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0,proxy_from_single_validation,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
paper_0003,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0004,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0005,0.8,1.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
paper_0006,0.7333333333333333,0.75,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
paper_0007,0.7333333333333333,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
paper_0008,0.6666666666666666,0.75,0.6666666666666666,0.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0
paper_0009,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
